zamo-uri;skos-match;aligned-uri
https://w3id.org/zeri/ontology/zamo/events#recognizesConservationStatusAs;http://www.w3.org/2004/02/skos/core#exactMatch;http://www.cidoc-crm.org/cidoc-crm/P35_has_identified
https://w3id.org/zeri/ontology/zamo/events#hasParticipant;http://www.w3.org/2004/02/skos/core#exactMatch;http://www.cidoc-crm.org/cidoc-crm/P11_had_participant
https://w3id.org/zeri/ontology/zamo/events#hasAttributeType;http://www.w3.org/2004/02/skos/core#exactMatch;http://www.cidoc-crm.org/cidoc-crm/P177_assigned_property_of_type
https://w3id.org/zeri/ontology/zamo/sources#HistoricalReconstruction;http://www.w3.org/2004/02/skos/core#narrowMatch;http://purl.org/emmedi/hico/InterpretationAct
https://w3id.org/zeri/ontology/zamo/sources#HistoricalReconstruction;http://www.w3.org/2004/02/skos/core#narrowMatch;https://w3id.org/arco/ontology/context-description/Interpretation
https://w3id.org/zeri/ontology/zamo/sources#Thing;http://www.w3.org/2004/02/skos/core#exactMatch;http://www.cidoc-crm.org/cidoc-crm/E18_Physical_Thing
https://w3id.org/zeri/ontology/zamo/sources#CuratedHolding;http://www.w3.org/2004/02/skos/core#exactMatch;http://www.cidoc-crm.org/cidoc-crm/E78_Curated_Holding
https://w3id.org/zeri/ontology/zamo/sources#ArchivalItem;http://www.w3.org/2004/02/skos/core#exactMatch;https://w3id.org/arco/ontology/archive/ArchivalResource
https://w3id.org/zeri/ontology/zamo/sources#Letter;http://www.w3.org/2004/02/skos/core#exactMatch;http://purl.org/spar/fabio/Letter
https://w3id.org/zeri/ontology/zamo/sources#Object;http://www.w3.org/2004/02/skos/core#exactMatch;http://www.cidoc-crm.org/cidoc-crm/E22_Human-Made_Object
https://w3id.org/zeri/ontology/zamo/sources#Artwork;http://www.w3.org/2004/02/skos/core#exactMatch;http://purl.org/spar/fabio/ArtisticWork
https://w3id.org/zeri/ontology/zamo/sources#Photo;http://www.w3.org/2004/02/skos/core#exactMatch;http://www.essepuntato.it/2014/03/fentry/Photograph
https://w3id.org/zeri/ontology/zamo/sources#Archive;http://www.w3.org/2004/02/skos/core#exactMatch;https://w3id.org/arco/ontology/archive/ArchivalCollection
https://w3id.org/zeri/ontology/zamo/sources#PhotoArchive;http://www.w3.org/2004/02/skos/core#narrowMatch;https://w3id.org/arco/ontology/context-description/PhotographicFonds
https://w3id.org/zeri/ontology/zamo/sources#BibliographicItem;http://www.w3.org/2004/02/skos/core#narrowMatch;http://purl.org/spar/fabio/Item
https://w3id.org/zeri/ontology/zamo/sources#Catalog;http://www.w3.org/2004/02/skos/core#exactMatch;http://purl.org/spar/fabio/Catalog
https://w3id.org/zeri/ontology/zamo/sources#isContainedIn;http://www.w3.org/2004/02/skos/core#narrowMatch;http://www.cidoc-crm.org/cidoc-crm/P46i_forms_part_of
https://w3id.org/zeri/ontology/zamo/sources#isSourceFor;http://www.w3.org/2004/02/skos/core#narrowMatch;http://purl.org/spar/cito/isDocumentedBy
https://w3id.org/zeri/ontology/zamo/sources#hasCurrentOwner;http://www.w3.org/2004/02/skos/core#exactMatch;http://www.cidoc-crm.org/cidoc-crm/P52_has_current_owner
https://w3id.org/zeri/ontology/zamo/sources#reconstructs;http://www.w3.org/2004/02/skos/core#narrowMatch;https://w3id.org/arco/ontology/context-description/hasInterpretationSubject
https://w3id.org/zeri/ontology/zamo/sources#hasExtent;http://www.w3.org/2004/02/skos/core#exactMatch;https://w3id.org/arco/ontology/archive/extent
