Nome,Luogo,Cronologia,Antiquario,Collezionista,Galleria,Asta,Type,Schede,lat,lon
Bocciarelli,Siena,,1.0,,,,A,P,43.1672254,11.467181161339118
Böhler,Lucerna,1880-,1.0,,,,A,http://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=B%C3%B6hler,47.0505452,8.3054682
Bompani,Parma,,1.0,,,,A,P,44.8013678,10.3280833
Borghi,New York,,1.0,,,,A,P,40.7127281,-74.0060152
Bottenwieser,Berlino,1917-1928 ,1.0,,,,A,P,52.5170365,13.3888599
Bracaglia,Roma,,1.0,,,,A,http://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Bracaglia,41.8933203,12.4829321
Bracaglia B.,Londra,,1.0,,,,A,,51.5073219,-0.1276474
Brimo de Laroussilhe,Parigi,1908-,1.0,,,,A,http://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Brimo+de+Laroussilhe,48.8588897,2.3200410217200766
Brisigotti,Londra,,1.0,,,,A,http://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Brisigotti,51.5073219,-0.1276474
Bruni,Roma,,1.0,,,,A,P,41.8933203,12.4829321
Bruschi,Firenze,-1973,1.0,,,,A,http://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Bruschi&page=1&filtroprovenienza_OA=4950%7C10397,43.7698712,11.2555757
Bucarelli,Firenze,,1.0,,,,A,P,43.7698712,11.2555757
Campacci,Firenze,,1.0,,,,A,P,43.7698712,11.2555757
Candiani,Milano,,1.0,,,,A,http://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Candiani&page=1&filtrolocalizzazione_OA=7526%7C9967,45.4641943,9.1896346
Canessa,Milano,,1.0,,,,A,http://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Canessa&page=1&filtroprovenienza_OA=4531%7C1613,45.4641943,9.1896346
Canessa,Parigi,,1.0,,,,A,,48.8588897,2.3200410217200766
Cantarini Antichità,Pollenza (MC),,1.0,,,,A,P,43.2677749,13.3477918
Cantore,Modena,1970-,1.0,,,,A,P,44.5384728,10.935960870530739
Cappuzzo,Firenze,,1.0,,,,A,P,43.7698712,11.2555757
Carloni,Assisi,,1.0,,,,A,P,43.0711952,12.6146669
Carnevali,Firenze,,1.0,,,,A,P,43.7698712,11.2555757
Carretto G.,Torino,,1.0,,,,A,P,45.0677551,7.6824892
Castellini,Brescia,1973-,1.0,,,,A,P,45.77958045,10.4258729694612
Cavicchi,Ferrara,,1.0,,,,A,P,44.766764249999994,11.827938995640167
Cei,Firenze,1902-,1.0,,,,A,http://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=CEI,43.7698712,11.2555757
Cellini Mario,Roma,,1.0,,,,A,http://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=cellini&page=1&filtroprovenienza_OA=4531%7C3703,41.8933203,12.4829321
Cera Adriano,Bologna,1938-2021,1.0,,,,A,http://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=cera,44.4938203,11.3426327
Chaucer,Londra,1977-2017,1.0,,,,A,http://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Chaucer+Fine+Arts,51.5073219,-0.1276474
Ciaccio,Milano,,1.0,,,,A,,45.4641943,9.1896346
Ciaroni,Pesaro,,1.0,,,,A,P,43.9098114,12.9131228
Codognato,Firenze,,1.0,,,,A,P,43.7698712,11.2555757
Cohen,Londra,,1.0,,,,A,http://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=cohen,51.5073219,-0.1276474
Colnaghi,Londra,1790-,1.0,,,,A,http://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=colnaghi,51.5073219,-0.1276474
Colombari,Torino,-2019,1.0,,,,A,http://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=colombari,45.0677551,7.6824892
Consigli,Parma,1958-,1.0,,,,A,http://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Consigli&page=1&filtrolocalizzazione_OA=5602%7C9677,44.8013678,10.3280833
Conti,Roma,,1.0,,,,A,P,41.8933203,12.4829321
Contini Bonacossi,Firenze,1918-1955,1.0,,,,A C,http://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Contini+Bonacossi,43.7698712,11.2555757
Corsini P.,Firenze,1956-1997,1.0,,,,A,,43.7698712,11.2555757
Corsini P.,Monaco,1997-2001,1.0,,,,A,http://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=corsini&page=1&filtrolocalizzazione_OA=9127%7C8926,43.7323492,7.4276832
Corsini P.,New York,1981-2001,1.0,,,,A,http://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=corsini&page=1&filtroprovenienza_OA=8141%7C716,40.7127281,-74.0060152
Costantini,Roma,,1.0,,,,A,http://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=COSTANTINI&page=1&filtroprovenienza_OA=4531%7C9393,41.8933203,12.4829321
Cribiori,Milano,,1.0,,,,A,http://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Cribiori,45.4641943,9.1896346
D’Atri,Parigi,,1.0,,,,A,http://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=D%27Atri,48.8588897,2.3200410217200766
Dal Pozzo,Milano,,1.0,,,,A,http://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=L.+Dal+Pozzo,45.4641943,9.1896346
D'Alessandro,Spoleto,,1.0,,,,A,P,42.7355124,12.7363357
Dall'Oglio,Milano,,1.0,,,,A,P,45.4641943,9.1896346
Damiano F.lli,Rivoli (TO),,1.0,,,,A,P,45.0697151,7.5176764
Daninos,Firenze,,1.0,,,,A,http://catalogo.fondazionezeri.unibo.it/scheda/opera/72404/Varotti%20Giuseppe%2C%20Morte%20di%20san%20Benedetto,43.7698712,11.2555757
Datrino,Torre Canavese (TO),,1.0,,,,A,http://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Datrino,45.392056,7.759818
De Carlo,Firenze,,1.0,,,,A,http://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=de+carlo,43.7698712,11.2555757
De Clemente,Firenze,,1.0,,,,A,http://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=de+clemente,43.7698712,11.2555757
De Filippo,Napoli,,1.0,,,,A,P,40.8358846,14.2487679
Devoto Giorgio,Genova,,1.0,,,,A,P,44.40726,8.9338624
Di Castro,Roma,1878-,1.0,,,,A,http://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=di+castro,41.8933203,12.4829321
De Clemente,Firenze,,1.0,,,,A,http://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=De%20Clemente&page=1&filtroprovenienza_OA=4950%7C122,43.7698712,11.2555757
Di Nepi,Roma,,1.0,,,,A,P,41.8933203,12.4829321
Dick J.,Vevey,,1.0,,,,A,P,46.4602978,6.8418655
Douwes,Amsterdam,1777-,1.0,,,,A,http://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Douwes,52.3727598,4.8936041
Drey Paul,New York,1885-1953,1.0,,,,A,http://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=Paul+Drey+Gallery,40.7127281,-74.0060152
Drey Aaron,Monaco di Baviera,,1.0,,,,A,http://catalogo.fondazionezeri.unibo.it/ricerca.v2.jsp?decorator=layout_resp&apply=true&percorso_ricerca=OA&sortby=LOCALIZZAZIONE&batch=10&view=list&locale=it&PVCS_PVCR_PVCP_PVCC_PVCL_LDCN_PRVS_PRVR_PRVP_PRVC_PRVL_PRCD=A.S.%20Drey&page=1&filtroprovenienza_OA=8115%7C6719,48.1371079,11.5753822
